,Date,Forecast
2024-01-01,2024-01-01,73.45366622675778
2024-01-02,2024-01-02,74.05935034246289
2024-01-03,2024-01-03,74.20687572250633
2024-01-04,2024-01-04,73.8563592983723
2024-01-05,2024-01-05,72.97168654827948
2024-01-08,2024-01-08,73.55168331955348
2024-01-09,2024-01-09,73.27716565580246
2024-01-10,2024-01-10,73.34818118947668
2024-01-11,2024-01-11,74.58652618033362
2024-01-12,2024-01-12,73.91062478365846
2024-01-15,2024-01-15,71.73939491184348
2024-01-16,2024-01-16,71.69253781378514
2024-01-17,2024-01-17,73.50976017832731
2024-01-18,2024-01-18,74.21379209038197
2024-01-19,2024-01-19,73.98113435824929
2024-01-22,2024-01-22,73.48871284795547
2024-01-23,2024-01-23,72.93815091924459
2024-01-24,2024-01-24,72.95861520958249
2024-01-25,2024-01-25,71.91480816064045
2024-01-26,2024-01-26,71.94973349687963
2024-01-29,2024-01-29,73.55428541768595
2024-01-30,2024-01-30,72.93890503489206
2024-01-31,2024-01-31,70.58435679448385
2024-02-01,2024-02-01,70.791640699615
2024-02-02,2024-02-02,72.69799152053396
2024-02-05,2024-02-05,73.14102439181372
2024-02-06,2024-02-06,73.36477214178771
2024-02-07,2024-02-07,73.33129749528428
2024-02-08,2024-02-08,73.0977750152962
2024-02-09,2024-02-09,73.143546613355
2024-02-12,2024-02-12,72.47748801046566
2024-02-13,2024-02-13,72.51439977810341
2024-02-14,2024-02-14,74.16039181356938
2024-02-15,2024-02-15,73.291592455514
2024-02-16,2024-02-16,70.98435769574819
2024-02-19,2024-02-19,71.04500266709479
2024-02-20,2024-02-20,72.90515349672503
2024-02-21,2024-02-21,73.45440709109492
2024-02-22,2024-02-22,73.55941367140996
2024-02-23,2024-02-23,73.33692621117311
2024-02-26,2024-02-26,72.84856658726417
2024-02-27,2024-02-27,73.04494534878937
2024-02-28,2024-02-28,72.41161562341084
2024-02-29,2024-02-29,72.45951684278164
2024-03-01,2024-03-01,73.98025973707965
2024-03-04,2024-03-04,73.22352160722271
2024-03-05,2024-03-05,70.94651027337468
2024-03-06,2024-03-06,71.0090914448454
2024-03-07,2024-03-07,72.86792241581276
2024-03-08,2024-03-08,73.43975856665924
2024-03-11,2024-03-11,73.47394058118088
2024-03-12,2024-03-12,73.2153741495775
2024-03-13,2024-03-13,72.76514348228453
2024-03-14,2024-03-14,72.87871569706479
2024-03-15,2024-03-15,72.1203974219851
2024-03-18,2024-03-18,72.16275099167663
2024-03-19,2024-03-19,73.73542942546487
2024-03-20,2024-03-20,72.99566713292164
2024-03-21,2024-03-21,70.69016248699958
2024-03-22,2024-03-22,70.7945240150375
